      3000  0.100000000000D+01  0.478950000000D+01
      0.791661169020D+03    0    0
  0.377529456584D+00  0.377033624786D+00  0.376535370251D+00  0.376034715367D+00
  0.375531682477D+00  0.375026293883D+00  0.374518571842D+00  0.374008538565D+00
  0.373496216220D+00  0.372981626928D+00  0.372464792761D+00  0.371945735745D+00
  0.371424477859D+00  0.370901041031D+00  0.370375447138D+00  0.369847718011D+00
  0.369317875425D+00  0.368785941107D+00  0.368251936729D+00  0.367715883912D+00
  0.367177804222D+00  0.366637719171D+00  0.366095650216D+00  0.365551618758D+00
  0.365005646144D+00  0.364457753661D+00  0.363907962541D+00  0.363356293958D+00
  0.362802769026D+00  0.362247408801D+00  0.361690234280D+00  0.361131266398D+00
  0.360570526032D+00  0.360008033995D+00  0.359443811039D+00  0.358877877856D+00
  0.358310255071D+00  0.357740963251D+00  0.357170022894D+00  0.356597454437D+00
  0.356023278251D+00  0.355447514643D+00  0.354870183853D+00  0.354291306055D+00
  0.353710901357D+00  0.353128989800D+00  0.352545591357D+00  0.351960725933D+00
  0.351374413366D+00  0.350786673424D+00  0.350197525806D+00  0.349606990142D+00
  0.349015085991D+00  0.348421832844D+00  0.347827250119D+00  0.347231357164D+00
  0.346634173255D+00  0.346035717598D+00  0.345436009323D+00  0.344835067493D+00
  0.344232911093D+00  0.343629559038D+00  0.343025030168D+00  0.342419343251D+00
  0.341812516980D+00  0.341204569972D+00  0.340595520772D+00  0.339985387849D+00
  0.339374189596D+00  0.338761944331D+00  0.338148670296D+00  0.337534385658D+00
  0.336919108507D+00  0.336302856856D+00  0.335685648641D+00  0.335067501722D+00
  0.334448433881D+00  0.333828462823D+00  0.333207606174D+00  0.332585881485D+00
  0.331963306224D+00  0.331339897786D+00  0.330715673483D+00  0.330090650551D+00
  0.329464846146D+00  0.328838277345D+00  0.328210961146D+00  0.327582914467D+00
  0.326954154147D+00  0.326324696944D+00  0.325694559538D+00  0.325063758527D+00
  0.324432310431D+00  0.323800231686D+00  0.323167538652D+00  0.322534247604D+00
  0.321900374740D+00  0.321265936175D+00  0.320630947944D+00  0.319995425999D+00
  0.319359386214D+00  0.318722844379D+00  0.318085816205D+00  0.317448317318D+00
  0.316810363267D+00  0.316171969516D+00  0.315533151449D+00  0.314893924367D+00
  0.314254303491D+00  0.313614303958D+00  0.312973940825D+00  0.312333229066D+00
  0.311692183574D+00  0.311050819159D+00  0.310409150548D+00  0.309767192389D+00
  0.309124959245D+00  0.308482465599D+00  0.307839725850D+00  0.307196754316D+00
  0.306553565232D+00  0.305910172752D+00  0.305266590948D+00  0.304622833807D+00
  0.303978915239D+00  0.303334849066D+00  0.302690649033D+00  0.302046328799D+00
  0.301401901944D+00  0.300757381965D+00  0.300112782275D+00  0.299468116208D+00
  0.298823397016D+00  0.298178637866D+00  0.297533851846D+00  0.296889051962D+00
  0.296244251138D+00  0.295599462215D+00  0.294954697955D+00  0.294309971037D+00
  0.293665294059D+00  0.293020679537D+00  0.292376139907D+00  0.291731687522D+00
  0.291087334656D+00  0.290443093500D+00  0.289798976166D+00  0.289154994683D+00
  0.288511161003D+00  0.287867486993D+00  0.287223984442D+00  0.286580665059D+00
  0.285937540470D+00  0.285294622224D+00  0.284651921789D+00  0.284009450552D+00
  0.283367219822D+00  0.282725240825D+00  0.282083524712D+00  0.281442082552D+00
  0.280800925334D+00  0.280160063970D+00  0.279519509292D+00  0.278879272053D+00
  0.278239362927D+00  0.277599792510D+00  0.276960571320D+00  0.276321709796D+00
  0.275683218300D+00  0.275045107114D+00  0.274407386444D+00  0.273770066418D+00
  0.273133157087D+00  0.272496668424D+00  0.271860610325D+00  0.271224992610D+00
  0.270589825021D+00  0.269955117224D+00  0.269320878808D+00  0.268687119288D+00
  0.268053848101D+00  0.267421074608D+00  0.266788808096D+00  0.266157057774D+00
  0.265525832780D+00  0.264895142172D+00  0.264264994937D+00  0.263635399985D+00
  0.263006366152D+00  0.262377902202D+00  0.261750016822D+00  0.261122718627D+00
  0.260496016157D+00  0.259869917880D+00  0.259244432189D+00  0.258619567407D+00
  0.257995331782D+00  0.257371733489D+00  0.256748780633D+00  0.256126481244D+00
  0.255504843283D+00  0.254883874638D+00  0.254263583124D+00  0.253643976488D+00
  0.253025062405D+00  0.252406848477D+00  0.251789342238D+00  0.251172551152D+00
  0.250556482610D+00  0.249941143937D+00  0.249326542386D+00  0.248712685141D+00
  0.248099579317D+00  0.247487231962D+00  0.246875650052D+00  0.246264840497D+00
  0.245654810139D+00  0.245045565751D+00  0.244437114040D+00  0.243829461642D+00
  0.243222615132D+00  0.242616581011D+00  0.242011365720D+00  0.241406975629D+00
  0.240803417045D+00  0.240200696206D+00  0.239598819287D+00  0.238997792397D+00
  0.238397621579D+00  0.237798312813D+00  0.237199872013D+00  0.236602305029D+00
  0.236005617647D+00  0.235409815589D+00  0.234814904515D+00  0.234220890019D+00
  0.233627777635D+00  0.233035572832D+00  0.232444281017D+00  0.231853907537D+00
  0.231264457673D+00  0.230675936649D+00  0.230088349624D+00  0.229501701696D+00
  0.228915997906D+00  0.228331243230D+00  0.227747442586D+00  0.227164600831D+00
  0.226582722764D+00  0.226001813121D+00  0.225421876583D+00  0.224842917769D+00
  0.224264941241D+00  0.223687951501D+00  0.223111952995D+00  0.222536950108D+00
  0.221962947172D+00  0.221389948458D+00  0.220817958180D+00  0.220246980498D+00
  0.219677019513D+00  0.219108079271D+00  0.218540163762D+00  0.217973276919D+00
  0.217407422621D+00  0.216842604693D+00  0.216278826903D+00  0.215716092964D+00
  0.215154406538D+00  0.214593771230D+00  0.214034190593D+00  0.213475668125D+00
